Age 	Excellent 	Above Average 	Average 	Below Average 	Poor
13-14 	>2000m 	1900-2000m 	1600-1899m 	1500-1599m 	<1500m
15-16 	>2100m 	2000-2100m 	1700-1999m 	1600-1699m 	<1600m
17-20 	>2300m 	2100-2300m 	1800-2099m 	1700-1799m 	<1700m
20-29 	>2700m 	2200-2700m 	1800-2199m 	1500-1799m 	<1500m
30-39 	>2500m 	2000-2500m 	1700-1999m 	1400-1699m 	<1400m
40-49 	>2300m 	1900-2300m 	1500-1899m 	1200-1499m 	<1200m
>50 	>2200m 	1700-2200m 	1400-1699m 	1100-1399m 	<1100m
