Age,Excellent,Above Average,Average,Below Average,Poor
13-14,2000,1900-2000,1600-1899,1500-1599,1500
15-16,2100,2000-2100,1700-1999,1600-1699,1600
17-19,2300,2100-2300,1800-2099,1700-1799,1700
20-29,2700,2200-2700,1800-2199,1500-1799,1500
30-39,2500,2000-2500,1700-1999,1400-1699,1400
40-49,2300,1900-2300,1500-1899,1200-1499,1200
>50,2200,1700-2200,1400-1699,1100-1399,1100
